,productkey,englishproductname,sum
0,219,"Mountain Bike Socks, L",$28.50
1,223,AWC Logo Cap,$207.46
2,218,"Mountain Bike Socks, M",$216.60
3,229,"Long-Sleeve Logo Jersey, M",$461.44
4,212,"Sport-100 Helmet, Red",$484.50
5,215,"Sport-100 Helmet, Black",$545.04
6,235,"Long-Sleeve Logo Jersey, XL",$547.96
7,220,"Sport-100 Helmet, Blue",$666.15
8,336,"Road-650 Black, 62",$699.10
9,296,"HL Mountain Frame - Black, 42",$714.70
10,300,"HL Mountain Frame - Black, 48",$809.76
11,232,"Long-Sleeve Logo Jersey, L","$1,413.16"
12,276,"ML Road Frame - Red, 52","$1,427.59"
13,253,"LL Road Frame - Black, 58","$1,428.64"
14,307,"HL Mountain Frame - Silver, 38","$1,445.19"
15,292,"HL Mountain Frame - Silver, 48","$1,637.40"
16,264,"LL Road Frame - Red, 48","$1,655.44"
17,293,"HL Mountain Frame - Silver, 46","$2,167.78"
18,272,"LL Road Frame - Red, 62","$2,575.15"
19,262,"LL Road Frame - Red, 44","$2,759.09"
20,304,"HL Mountain Frame - Black, 38","$2,858.81"
21,270,"LL Road Frame - Red, 60","$2,943.04"
22,285,"LL Road Frame - Black, 52","$3,393.02"
23,313,"Road-150 Red, 52","$3,578.27"
24,311,"Road-150 Red, 44","$3,578.27"
25,334,"Road-650 Black, 60","$4,614.06"
26,338,"Road-650 Black, 44","$5,452.98"
27,275,"ML Road Frame - Red, 48","$5,710.38"
28,330,"Road-650 Red, 52","$6,571.54"
29,312,"Road-150 Red, 48","$7,156.54"
30,324,"Road-650 Red, 62","$7,969.74"
31,328,"Road-650 Red, 48","$8,389.19"
32,316,"Road-450 Red, 60","$9,622.73"
33,345,"Mountain-100 Silver, 42","$10,199.95"
34,342,"Road-650 Black, 52","$12,164.32"
35,317,"Road-450 Red, 44","$12,247.10"
36,332,"Road-650 Black, 58","$12,583.78"
37,310,"Road-150 Red, 62","$13,597.42"
38,347,"Mountain-100 Silver, 48","$14,279.94"
39,322,"Road-650 Red, 60","$18,036.75"
40,326,"Road-650 Red, 44","$18,456.20"
41,315,"Road-450 Red, 58","$23,619.43"
42,344,"Mountain-100 Silver, 38","$23,799.92"
43,349,"Mountain-100 Black, 42","$32,399.90"
44,314,"Road-150 Red, 56","$33,635.71"
45,346,"Mountain-100 Silver, 44","$38,759.88"
46,319,"Road-450 Red, 52","$40,240.50"
47,351,"Mountain-100 Black, 48","$43,874.85"
48,348,"Mountain-100 Black, 38","$44,549.87"
49,350,"Mountain-100 Black, 44","$46,574.86"
